id,title,author,school,summary,key_concepts,content_to_embed
11,The Gay Science,Friedrich Nietzsche,Nietzscheanism,"Celebrates intellectual freedom, courage, and joyful experimentation in thinking, featuring the famous declaration that God is dead.","amor fati, joyful wisdom, intellectual honesty, death of god, love of fate","Title: The Gay Science. Author: Friedrich Nietzsche. School: Nietzscheanism. Summary: Celebrates intellectual freedom, courage, and joyful experimentation in thinking, featuring the famous declaration that God is dead.. Key Concepts: amor fati, joyful wisdom, intellectual honesty, death of god, love of fate"
12,The World as Will and Representation,Arthur Schopenhauer,Philosophical Pessimism,"Posits that the ultimate reality is a blind, insatiable Will that produces endless suffering, manageable only through ascetic contemplation and artistic detachment.","metaphysical will, pessimism, suffering, aesthetic contemplation, cessation of desire","Title: The World as Will and Representation. Author: Arthur Schopenhauer. School: Philosophical Pessimism. Summary: Posits that the ultimate reality is a blind, insatiable Will that produces endless suffering, manageable only through ascetic contemplation and artistic detachment.. Key Concepts: metaphysical will, pessimism, suffering, aesthetic contemplation, cessation of desire"
13,The Ego and Its Own,Max Stirner,Egoist Anarchism,"Rejects all religious, ideological, and moral concepts as mental illusions or spooks, advocating radical self-ownership and absolute individual interest.","spooks of the mind, radical egoism, self-ownership, anti-statism, individual supremacy","Title: The Ego and Its Own. Author: Max Stirner. School: Egoist Anarchism. Summary: Rejects all religious, ideological, and moral concepts as mental illusions or spooks, advocating radical self-ownership and absolute individual interest.. Key Concepts: spooks of the mind, radical egoism, self-ownership, anti-statism, individual supremacy"
14,Meditations,Marcus Aurelius,Stoicism,"Personal journal of a Roman Emperor meditating on duty, accepting mortality, emotional self-mastery, and maintaining an unshakeable inner citadel.","inner citadel, duty, impermanence, controlling reactions, rational cosmos, emotional calm","Title: Meditations. Author: Marcus Aurelius. School: Stoicism. Summary: Personal journal of a Roman Emperor meditating on duty, accepting mortality, emotional self-mastery, and maintaining an unshakeable inner citadel.. Key Concepts: inner citadel, duty, impermanence, controlling reactions, rational cosmos, emotional calm"
15,Letters from a Stoic,Seneca,Stoicism,"Practical letters offering timeless guidance on handling grief, avoiding the trap of materialism, using time deliberately, and conquering the fear of death.","fear of death, value of time, tranquility, mental resilience, overcoming luxury","Title: Letters from a Stoic. Author: Seneca. School: Stoicism. Summary: Practical letters offering timeless guidance on handling grief, avoiding the trap of materialism, using time deliberately, and conquering the fear of death.. Key Concepts: fear of death, value of time, tranquility, mental resilience, overcoming luxury"
16,Discourses and Selected Writings,Epictetus,Stoicism,A former slave teaches that true freedom resides in recognizing what is within our control and abandoning emotional dependence on external events.,"dichotomy of control, inner freedom, endurance, discipline of desire, emotional independence","Title: Discourses and Selected Writings. Author: Epictetus. School: Stoicism. Summary: A former slave teaches that true freedom resides in recognizing what is within our control and abandoning emotional dependence on external events.. Key Concepts: dichotomy of control, inner freedom, endurance, discipline of desire, emotional independence"
17,On the Shortness of Life,Seneca,Stoicism,"An urgent essay arguing that life is sufficiently long if not wasted on pointless social ambitions, shallow pastimes, and endless procrastination.","wasted time, living deliberately, procrastination, mortality, present moment","Title: On the Shortness of Life. Author: Seneca. School: Stoicism. Summary: An urgent essay arguing that life is sufficiently long if not wasted on pointless social ambitions, shallow pastimes, and endless procrastination.. Key Concepts: wasted time, living deliberately, procrastination, mortality, present moment"
18,Enchiridion,Epictetus,Stoicism,"A concise handbook of practical stoic rules to navigate daily stress, social expectations, and personal adversity without losing inner peace.","practical stoicism, cognitive reframing, mental armor, indifference to external praise","Title: Enchiridion. Author: Epictetus. School: Stoicism. Summary: A concise handbook of practical stoic rules to navigate daily stress, social expectations, and personal adversity without losing inner peace.. Key Concepts: practical stoicism, cognitive reframing, mental armor, indifference to external praise"
19,The Prince,Niccolò Machiavelli,Political Realism,"A blunt treatise analyzing how political leaders gain and keep power using pragmatic statecraft, strategic deception, and balancing fear with affection.","realpolitik, virtu vs fortuna, holding power, ends justify the means, pragmatic leadership","Title: The Prince. Author: Niccolò Machiavelli. School: Political Realism. Summary: A blunt treatise analyzing how political leaders gain and keep power using pragmatic statecraft, strategic deception, and balancing fear with affection.. Key Concepts: realpolitik, virtu vs fortuna, holding power, ends justify the means, pragmatic leadership"
20,Leviathan,Thomas Hobbes,Social Contract,"Argues that without an absolute sovereign power, human life in the state of nature is solitary, poor, nasty, brutish, and short due to perpetual warfare.","state of nature, social contract, absolute sovereign, fear of violent death, political stability","Title: Leviathan. Author: Thomas Hobbes. School: Social Contract. Summary: Argues that without an absolute sovereign power, human life in the state of nature is solitary, poor, nasty, brutish, and short due to perpetual warfare.. Key Concepts: state of nature, social contract, absolute sovereign, fear of violent death, political stability"
21,The Social Contract,Jean-Jacques Rousseau,Political Enlightenment,Proposes that legitimate political authority rests on a collective contract where citizens surrender natural liberties to enact the General Will.,"general will, popular sovereignty, natural vs civil freedom, equality, legitimate authority","Title: The Social Contract. Author: Jean-Jacques Rousseau. School: Political Enlightenment. Summary: Proposes that legitimate political authority rests on a collective contract where citizens surrender natural liberties to enact the General Will.. Key Concepts: general will, popular sovereignty, natural vs civil freedom, equality, legitimate authority"
22,The Communist Manifesto,Karl Marx and Friedrich Engels,Marxism,"Analyzes human history as driven by class struggle, urging the working class to overthrow capitalist exploitation through organized revolution.","class struggle, historical materialism, proletariat, revolution, abolishing exploitation","Title: The Communist Manifesto. Author: Karl Marx and Friedrich Engels. School: Marxism. Summary: Analyzes human history as driven by class struggle, urging the working class to overthrow capitalist exploitation through organized revolution.. Key Concepts: class struggle, historical materialism, proletariat, revolution, abolishing exploitation"
23,Two Treatises of Government,John Locke,Classical Liberalism,"Defends fundamental natural rights to life, liberty, and property, arguing that governments exist solely by the consent of the governed.","natural rights, consent of the governed, private property, right of revolution, limited government","Title: Two Treatises of Government. Author: John Locke. School: Classical Liberalism. Summary: Defends fundamental natural rights to life, liberty, and property, arguing that governments exist solely by the consent of the governed.. Key Concepts: natural rights, consent of the governed, private property, right of revolution, limited government"
24,Mengzi,Mencius,Confucianism,"Defends the thesis that human nature is innately good, comparing morality to natural sprouts that flourish under benevolent governance and ethical education.","innate goodness of human nature, benevolent government, sprouts of virtue, mandate of heaven, righteous rebellion","Title: Mengzi. Author: Mencius. School: Confucianism. Summary: Defends the thesis that human nature is innately good, comparing morality to natural sprouts that flourish under benevolent governance and ethical education.. Key Concepts: innate goodness of human nature, benevolent government, sprouts of virtue, mandate of heaven, righteous rebellion"
25,Tao Te Ching,Lao Tzu,Taoism,"Foundational text promoting effortless action (wu wei), humility, simplicity, and living in complete harmony with the mysterious flow of the cosmos.","tao, wu wei, effortless action, humility, simplicity, softness overcoming hardness","Title: Tao Te Ching. Author: Lao Tzu. School: Taoism. Summary: Foundational text promoting effortless action (wu wei), humility, simplicity, and living in complete harmony with the mysterious flow of the cosmos.. Key Concepts: tao, wu wei, effortless action, humility, simplicity, softness overcoming hardness"
26,Zhuangzi,Zhuang Zhou,Taoism,"Humorous allegories and paradoxes that question rigid intellectual categories, celebrate spontaneity, and explore freedom from societal expectations.","butterfly dream, spontaneity, radical relativism, usefulness of the useless, perspective transformation","Title: Zhuangzi. Author: Zhuang Zhou. School: Taoism. Summary: Humorous allegories and paradoxes that question rigid intellectual categories, celebrate spontaneity, and explore freedom from societal expectations.. Key Concepts: butterfly dream, spontaneity, radical relativism, usefulness of the useless, perspective transformation"
27,The Analects,Confucius,Confucianism,"A collection of sayings emphasizing moral integrity, filial devotion, social harmony, and the lifelong cultivation of the exemplary gentleman (Junzi).","ren benevolence, filial piety, ritual propriety, junzi, social harmony, self-cultivation","Title: The Analects. Author: Confucius. School: Confucianism. Summary: A collection of sayings emphasizing moral integrity, filial devotion, social harmony, and the lifelong cultivation of the exemplary gentleman (Junzi).. Key Concepts: ren benevolence, filial piety, ritual propriety, junzi, social harmony, self-cultivation"
28,Liezi,Lie Yukou,Taoism,"Philosophical fables illustrating quiet contemplation, non-attachment to fate or outcomes, and walking smoothly with natural changes.","spontaneity, non-striving, natural cycles, accepting fate, non-interference","Title: Liezi. Author: Lie Yukou. School: Taoism. Summary: Philosophical fables illustrating quiet contemplation, non-attachment to fate or outcomes, and walking smoothly with natural changes.. Key Concepts: spontaneity, non-striving, natural cycles, accepting fate, non-interference"
29,The Great Learning,Confucius,Confucianism,"Outlines an organic path of moral progress starting with investigating things and purifying the self, expanding outward to pacifying the world.","self-cultivation, ordering the family, harmonious state, clear virtue, progressive morality","Title: The Great Learning. Author: Confucius. School: Confucianism. Summary: Outlines an organic path of moral progress starting with investigating things and purifying the self, expanding outward to pacifying the world.. Key Concepts: self-cultivation, ordering the family, harmonious state, clear virtue, progressive morality"
30,Xunzi,Xun Kuang,Confucianism,"Contrasts with Mencius by arguing that human nature is fundamentally undisciplined and selfish, requiring conscious ritual, education, and social law to achieve good.","human nature is raw, deliberate effort, ritual discipline, social order, moral transformation","Title: Xunzi. Author: Xun Kuang. School: Confucianism. Summary: Contrasts with Mencius by arguing that human nature is fundamentally undisciplined and selfish, requiring conscious ritual, education, and social law to achieve good.. Key Concepts: human nature is raw, deliberate effort, ritual discipline, social order, moral transformation"
